onset	duration	trial_type	value	sample
19.581	4.0	shoulder_flex_ext	5	19581
38.598	4.0	wrist_flex_ext	8	38598
58.612	4.0	wrist_abd_add	7	58612
78.612	4.0	shoulder_abd_add	4	78612
97.627	4.0	elbow_pron_sup	2	97627
116.644	4.0	hand_open_close	3	116644
136.659	4.0	wrist_flex_ext	8	136659
155.675	4.0	elbow_pron_sup	2	155675
174.691	4.0	hand_open_close	3	174691
193.708	4.0	wrist_flex_ext	8	193708
213.722	4.0	shoulder_abd_add	4	213722
232.738	4.0	elbow_pron_sup	2	232738
250.756	4.0	wrist_abd_add	7	250756
269.773	4.0	elbow_pron_sup	2	269773
288.789	4.0	wrist_flex_ext	8	288789
306.791	4.0	wrist_abd_add	7	306791
326.805	4.0	hand_open_close	3	326805
345.824	4.0	wrist_abd_add	7	345824
363.84	4.0	shoulder_pron_sup	6	363840
382.857	4.0	hand_open_close	3	382857
400.874	4.0	shoulder_abd_add	4	400874
418.876	4.0	shoulder_pron_sup	6	418876
438.891	4.0	hand_open_close	3	438891
457.908	4.0	shoulder_pron_sup	6	457908
475.925	4.0	shoulder_abd_add	4	475925
493.943	4.0	elbow_flex_ext	1	493943
511.945	4.0	wrist_flex_ext	8	511945
530.962	4.0	elbow_flex_ext	1	530962
549.994	4.0	shoulder_flex_ext	5	549994
568.011	4.0	shoulder_abd_add	4	568011
586.029	4.0	shoulder_pron_sup	6	586029
606.044	4.0	shoulder_flex_ext	5	606044
624.062	4.0	wrist_abd_add	7	624062
643.078	4.0	elbow_flex_ext	1	643078
663.078	4.0	shoulder_flex_ext	5	663078
681.096	4.0	elbow_flex_ext	1	681096
701.11	4.0	shoulder_flex_ext	5	701110
720.126	4.0	shoulder_pron_sup	6	720126
738.144	4.0	elbow_flex_ext	1	738144
757.161	4.0	elbow_pron_sup	2	757161
